ID,Speaker,DialogueText,PortraitIndex,EventFlag
1,나래이션,"""이곳은 핸즈필드 공동묘지""",0,SCENE_START
2,나래이션,"""마을과 떨어진 산 중턱에 위치한 묘지이다.""",0,
3,나래이션,"""이곳에서 묘지기인 할아버지와 라일이 살고 있다.""",0,
4,나래이션,"""할아버지는 평생토록 이 묘지를 관리하며 살아왔고, 라일은 그의 누구보다 아끼는 아이이다.""",0,
5,나래이션,"""라일은 태어나고 나서 기억을 할 무렵부터 할아버지와 같이 살아왔고, 할아버지만이 그의 세상이고 배움터이다.""",0,
6,나래이션,"""시간이 흘러 할아버지는 라일을 데리고 묘지를 관리하기 시작한다.""",0,
7,라일,"""할아버지! 여기는 왜 돌이 이렇게 많아요?""",1,
8,할아버지,"""이건 그냥 돌멩이가 아니란다, 라일아. 이건 비석이지.""",10,
9,라일,"""비석이요? 비석이 뭔데요?""",1,
10,할아버지,"""사람이 하늘나라로 떠나면 그 사람을 기억하려고 여기에 비석을 세우는 거란다.""",10,
11,라일,"""할아버지 여기 비석에 글자들이 적혀있어요! 음…데릭…당신을..기억..합니다…""",1,
12,할아버지,"""그건 그 사람의 이름과 이야기들이 적혀있는거란다. 우리가 떠난 사람들을 추억할 수 있도록 남겨두는거지.""",10,
13,라일,"""추억이요..? 그럼 나도.. 나중에 누가 기억해줄까요..?""",0,
14,할아버지,"""그럼, 물론이지. 기억이란건 아주 소중한거란다.""",11,
15,할아버지,"""묘비에 적힌 글자들도 이곳에서 쉬고 있는 분들을 다시 살아 움직이게 해주는 작은 약속이지.""",11,
16,나래이션,"""라일은 할아버지의 말을 가만히 들으며 묘비를 응시한다. """,0,SCENE_END
