ID,Speaker,DialogueText,PortraitIndex,EventFlag
1,나래이션,"""다시 시간이 흐르고 어느 날.""",0,SCENE_START
2,나래이션,"""라일은 어느새 몸이 무척 수척해진 할아버지를 간호하고 있다.""",0,
3,라일 ,"""음.. 이 정도면 할아버지도 좋아할거야!""",,
4,할아버지,"""라일아..""",,
5,라일 ,"""어? 할아버지! 배고프죠?""",,
6,라일 ,"""지금 스프를 끓이고 있으니까 조금만 기다려요!""",,
7,할아버지,"""라일아.. 가까이 와보려무나..""",,
8,라일,"""할아버지. 스프를 먹으면 그래도 몸이 좋아질거예요.""",,
9,할아버지,"""이제.. 할아버지는 하늘로 갈 준비를 해야한단다..""",,GRANDFATHER_WEAK
10,라일,"""네? 할아버지… 무슨 말이에요…?""",,
11,할아버지,"""이 묘지를 부탁한다. 라일아.. """,,
12,라일,"""안돼요.. 할아버지 가면 안돼요.. 절 두고 가지마요… """,,
13,할아버지,"""….할아버지는 항상 네 곁에 있을거란다….""",,EMOTIONAL_MOMENT
14,라일,"""할아버지…..""",,
15,나래이션,"""할아버지가 하늘나라로 떠난 후 라일은 생전 할아버지가 알려준대로 할아버지를 집 근처에 묻고, 집 안에만 틀어박혀있다.""",0,
16,나래이션,"""집안에 남아있는 생필품들로 몇달 동안 지내면서 라일은 할아버지가 없는 집 밖은 무서워한다.""",0,
17,나래이션,"""할아버지가 항상 가지고 다니던 손목시계 하나만을 계속해서 바라보며 흐느끼길 반복한다.""",0,
18,라일,"""할아버지 말고는 날 아는 사람도, 찾는 사람도 없으니까요…""",,SCENE_END
